Monoterpene_EZ,Monoterpene,Time_series,Time_series
Mx_data[][714].d,,tseries.d,tseries.d
137.1325073242;C10H16H+,,,
,37.7377,8/4/2019 20:24,43681.85058
,49.9221,8/4/2019 20:24,43681.85059
,37.4881,8/4/2019 20:24,43681.8506
,47.0285,8/4/2019 20:24,43681.85061
,36.2889,8/4/2019 20:24,43681.85063
,45.4605,8/4/2019 20:24,43681.85064
,36.4077,8/4/2019 20:24,43681.85065
,57.1914,8/4/2019 20:24,43681.85066
,36.4714,8/4/2019 20:24,43681.85067
,57.1877,8/4/2019 20:24,43681.85068
,39.7954,8/4/2019 20:25,43681.85069
,43.2692,8/4/2019 20:25,43681.85071
,31.6373,8/4/2019 20:25,43681.85072
,50.517,8/4/2019 20:25,43681.85073
,50.3661,8/4/2019 20:25,43681.85074
,41.5157,8/4/2019 20:25,43681.85075
,56.2803,8/4/2019 20:25,43681.85076
,69.5711,8/4/2019 20:25,43681.85078
,35.7486,8/4/2019 20:25,43681.85079
,50.7989,8/4/2019 20:25,43681.8508
,46.3389,8/4/2019 20:25,43681.85081
,54.4935,8/4/2019 20:25,43681.85082
,44.4521,8/4/2019 20:25,43681.85083
,55.8283,8/4/2019 20:25,43681.85084
,50.2249,8/4/2019 20:25,43681.85086
,51.7215,8/4/2019 20:25,43681.85087
,65.609,8/4/2019 20:25,43681.85088
,55.7461,8/4/2019 20:25,43681.85089
,45.9165,8/4/2019 20:25,43681.8509
,45.0696,8/4/2019 20:25,43681.85091
,56.9238,8/4/2019 20:25,43681.85093
,60.9618,8/4/2019 20:25,43681.85094
,43.5561,8/4/2019 20:25,43681.85095
,30.6452,8/4/2019 20:25,43681.85096
,41.4635,8/4/2019 20:25,43681.85097
,46.5011,8/4/2019 20:25,43681.85098
,60.6609,8/4/2019 20:25,43681.851
,52.3588,8/4/2019 20:25,43681.85101
,64.8229,8/4/2019 20:25,43681.85102
,48.5783,8/4/2019 20:25,43681.85103
,45.534,8/4/2019 20:25,43681.85104
,52.6443,8/4/2019 20:25,43681.85105
,58.4587,8/4/2019 20:25,43681.85106
,41.9959,8/4/2019 20:25,43681.85108
,50.786,8/4/2019 20:25,43681.85109
,42.4929,8/4/2019 20:25,43681.8511
,41.9418,8/4/2019 20:25,43681.85111
,36.9684,8/4/2019 20:25,43681.85112
,40.6703,8/4/2019 20:25,43681.85113
,51.0066,8/4/2019 20:25,43681.85115
,59.3461,8/4/2019 20:25,43681.85116
,45.7803,8/4/2019 20:25,43681.85117
,64.4654,8/4/2019 20:25,43681.85118
,42.2708,8/4/2019 20:25,43681.85119
,56.6288,8/4/2019 20:25,43681.8512
,54.6629,8/4/2019 20:25,43681.85122
,67.5699,8/4/2019 20:25,43681.85123
,43.9822,8/4/2019 20:25,43681.85124
,39.1337,8/4/2019 20:25,43681.85125
,55.3529,8/4/2019 20:25,43681.85126
,53.6097,8/4/2019 20:25,43681.85127
,37.3583,8/4/2019 20:25,43681.85128
,39.5393,8/4/2019 20:25,43681.8513
,64.4122,8/4/2019 20:25,43681.85131
,37.6721,8/4/2019 20:25,43681.85132
,53.2203,8/4/2019 20:25,43681.85133
,54.6808,8/4/2019 20:25,43681.85134
,38.7008,8/4/2019 20:25,43681.85135
,35.5355,8/4/2019 20:25,43681.85137
,53.9786,8/4/2019 20:25,43681.85138
,40.9643,8/4/2019 20:26,43681.85139
,67.0873,8/4/2019 20:26,43681.8514
,28.7481,8/4/2019 20:26,43681.85141
,41.5039,8/4/2019 20:26,43681.85142
,43.9335,8/4/2019 20:26,43681.85144
,57.5493,8/4/2019 20:26,43681.85145
,56.4347,8/4/2019 20:26,43681.85146
,49.1358,8/4/2019 20:26,43681.85147
,47.4592,8/4/2019 20:26,43681.85148
,51.533,8/4/2019 20:26,43681.85149
,48.558,8/4/2019 20:26,43681.8515
,46.6766,8/4/2019 20:26,43681.85152
,47.6262,8/4/2019 20:26,43681.85153
,37.5448,8/4/2019 20:26,43681.85154
,43.743,8/4/2019 20:26,43681.85155
,52.6279,8/4/2019 20:26,43681.85156
,46.9638,8/4/2019 20:26,43681.85157
,42.2017,8/4/2019 20:26,43681.85159
,37.1802,8/4/2019 20:26,43681.8516
,50.552,8/4/2019 20:26,43681.85161
,48.9446,8/4/2019 20:26,43681.85162
,39.721,8/4/2019 20:26,43681.85163
,37.6274,8/4/2019 20:26,43681.85164
,44.942,8/4/2019 20:26,43681.85166
,47.0369,8/4/2019 20:26,43681.85167
,47.1626,8/4/2019 20:26,43681.85168
,50.5494,8/4/2019 20:26,43681.85169
,41.4867,8/4/2019 20:26,43681.8517
,57.1161,8/4/2019 20:26,43681.85171
,42.8074,8/4/2019 20:26,43681.85172
,60.7584,8/4/2019 20:26,43681.85174
,40.7881,8/4/2019 20:26,43681.85175
,53.2691,8/4/2019 20:26,43681.85176
,60.307,8/4/2019 20:26,43681.85177
,52.3349,8/4/2019 20:26,43681.85178
,44.2299,8/4/2019 20:26,43681.85179
,58.9656,8/4/2019 20:26,43681.85181
,38.7145,8/4/2019 20:26,43681.85182
,52.2774,8/4/2019 20:26,43681.85183
,29.9723,8/4/2019 20:26,43681.85184
,40.3619,8/4/2019 20:26,43681.85185
,45.7076,8/4/2019 20:26,43681.85186
,28.4634,8/4/2019 20:26,43681.85188
,48.9565,8/4/2019 20:26,43681.85189
,47.9291,8/4/2019 20:26,43681.8519
,49.8377,8/4/2019 20:26,43681.85191
,42.0666,8/4/2019 20:26,43681.85192
,51.4408,8/4/2019 20:26,43681.85193
,43.056,8/4/2019 20:26,43681.85194
,59.6939,8/4/2019 20:26,43681.85196
,46.3067,8/4/2019 20:26,43681.85197
,55.8937,8/4/2019 20:26,43681.85198
,41.1336,8/4/2019 20:26,43681.85199
,36.7139,8/4/2019 20:26,43681.852
,37.5122,8/4/2019 20:26,43681.85201
,45.2928,8/4/2019 20:26,43681.85203
,36.876,8/4/2019 20:26,43681.85204
,43.9277,8/4/2019 20:26,43681.85205
,32.2331,8/4/2019 20:26,43681.85206
,54.8957,8/4/2019 20:26,43681.85207
,45.3079,8/4/2019 20:27,43681.85208
,37.5351,8/4/2019 20:27,43681.85209
,53.0209,8/4/2019 20:27,43681.85211
,45.8778,8/4/2019 20:27,43681.85212
,56.578,8/4/2019 20:27,43681.85213
,54.0726,8/4/2019 20:27,43681.85214
,45.5313,8/4/2019 20:27,43681.85215
,45.1906,8/4/2019 20:27,43681.85216
,46.0473,8/4/2019 20:27,43681.85218
,48.5634,8/4/2019 20:27,43681.85219
,38.6895,8/4/2019 20:27,43681.8522
,53.5878,8/4/2019 20:27,43681.85221
,42.374,8/4/2019 20:27,43681.85222
,42.3211,8/4/2019 20:27,43681.85223
,61.7633,8/4/2019 20:27,43681.85225
,39.6739,8/4/2019 20:27,43681.85226
,47.3736,8/4/2019 20:27,43681.85227
,54.4798,8/4/2019 20:27,43681.85228
,44.8709,8/4/2019 20:27,43681.85229
,45.5995,8/4/2019 20:27,43681.8523
,42.6743,8/4/2019 20:27,43681.85231
,40.5881,8/4/2019 20:27,43681.85233
,43.6213,8/4/2019 20:27,43681.85234
,52.8846,8/4/2019 20:27,43681.85235
,39.4494,8/4/2019 20:27,43681.85236
,39.2424,8/4/2019 20:27,43681.85237
,34.6399,8/4/2019 20:27,43681.85238
,40.5319,8/4/2019 20:27,43681.8524
,32.6585,8/4/2019 20:27,43681.85241
,46.1784,8/4/2019 20:27,43681.85242
,25.7604,8/4/2019 20:27,43681.85243
,39.6874,8/4/2019 20:27,43681.85244
,61.802,8/4/2019 20:27,43681.85245
,41.5236,8/4/2019 20:27,43681.85247
,37.2151,8/4/2019 20:27,43681.85248
,34.466,8/4/2019 20:27,43681.85249
,43.1598,8/4/2019 20:27,43681.8525
,56.8641,8/4/2019 20:27,43681.85251
,50.6259,8/4/2019 20:27,43681.85252
,45.8058,8/4/2019 20:27,43681.85253
,45.1198,8/4/2019 20:27,43681.85255
,42.8146,8/4/2019 20:27,43681.85256
,63.5801,8/4/2019 20:27,43681.85257
,48.9001,8/4/2019 20:27,43681.85258
,40.9303,8/4/2019 20:27,43681.85259
,53.1867,8/4/2019 20:27,43681.8526
,32.4676,8/4/2019 20:27,43681.85262
,50.0377,8/4/2019 20:27,43681.85263
,42.262,8/4/2019 20:27,43681.85264
,44.3889,8/4/2019 20:27,43681.85265
,44.3699,8/4/2019 20:27,43681.85266
,44.3886,8/4/2019 20:27,43681.85267
,48.067,8/4/2019 20:27,43681.85269
,44.1942,8/4/2019 20:27,43681.8527
,47.9833,8/4/2019 20:27,43681.85271
,50.2726,8/4/2019 20:27,43681.85272
,45.799,8/4/2019 20:27,43681.85273
,50.97,8/4/2019 20:27,43681.85274
,54.4385,8/4/2019 20:27,43681.85275
,47.4017,8/4/2019 20:27,43681.85277
,67.8216,8/4/2019 20:28,43681.85278
,40.1147,8/4/2019 20:28,43681.85279
,56.7058,8/4/2019 20:28,43681.8528
,54.2449,8/4/2019 20:28,43681.85281
,46.4535,8/4/2019 20:28,43681.85282
,40.9455,8/4/2019 20:28,43681.85284
,40.7458,8/4/2019 20:28,43681.85285
,46.1622,8/4/2019 20:28,43681.85286
,49.0185,8/4/2019 20:28,43681.85287
,38.7121,8/4/2019 20:28,43681.85288
,52.6664,8/4/2019 20:28,43681.85289
,41.3671,8/4/2019 20:28,43681.85291
,48.045,8/4/2019 20:28,43681.85292
,53.2322,8/4/2019 20:28,43681.85293
,42.5286,8/4/2019 20:28,43681.85294
,39.8504,8/4/2019 20:28,43681.85295
,59.0142,8/4/2019 20:28,43681.85296
,52.3726,8/4/2019 20:28,43681.85297
,61.2766,8/4/2019 20:28,43681.85299
,38.4911,8/4/2019 20:28,43681.853
,46.0123,8/4/2019 20:28,43681.85301
,48.9946,8/4/2019 20:28,43681.85302
,57.7512,8/4/2019 20:28,43681.85303
,40.5817,8/4/2019 20:28,43681.85304
,52.3866,8/4/2019 20:28,43681.85306
,43.2779,8/4/2019 20:28,43681.85307
,38.2888,8/4/2019 20:28,43681.85308
,26.3108,8/4/2019 20:28,43681.85309
,57.3421,8/4/2019 20:28,43681.8531
,50.1612,8/4/2019 20:28,43681.85311
,57.644,8/4/2019 20:28,43681.85313
,35.0484,8/4/2019 20:28,43681.85314
,28.8368,8/4/2019 20:28,43681.85315
,44.0037,8/4/2019 20:28,43681.85316
,54.0645,8/4/2019 20:28,43681.85317
,50.9399,8/4/2019 20:28,43681.85318
,33.2568,8/4/2019 20:28,43681.85319
,47.1278,8/4/2019 20:28,43681.85321
,48.5578,8/4/2019 20:28,43681.85322
,39.0807,8/4/2019 20:28,43681.85323
,44.7018,8/4/2019 20:28,43681.85324
,44.2599,8/4/2019 20:28,43681.85325
,47.018,8/4/2019 20:28,43681.85326
,47.8436,8/4/2019 20:28,43681.85328
,38.4642,8/4/2019 20:28,43681.85329
,54.6834,8/4/2019 20:28,43681.8533
,62.3393,8/4/2019 20:28,43681.85331
,39.7026,8/4/2019 20:28,43681.85332
,47.8395,8/4/2019 20:28,43681.85333
,40.8823,8/4/2019 20:28,43681.85334
,45.7681,8/4/2019 20:28,43681.85336
,61.6132,8/4/2019 20:28,43681.85337
,61.3894,8/4/2019 20:28,43681.85338
,42.5598,8/4/2019 20:28,43681.85339
,48.7328,8/4/2019 20:28,43681.8534
,51.2674,8/4/2019 20:28,43681.85341
,40.2281,8/4/2019 20:28,43681.85343
,41.2413,8/4/2019 20:28,43681.85344
,51.2413,8/4/2019 20:28,43681.85345
,52.4197,8/4/2019 20:28,43681.85346
,43.8912,8/4/2019 20:29,43681.85347
,33.8833,8/4/2019 20:29,43681.85348
,49.6431,8/4/2019 20:29,43681.8535
,43.1376,8/4/2019 20:29,43681.85351
,58.9335,8/4/2019 20:29,43681.85352
,46.9718,8/4/2019 20:29,43681.85353
,35.2911,8/4/2019 20:29,43681.85354
,56.1674,8/4/2019 20:29,43681.85355
,61.6711,8/4/2019 20:29,43681.85356
,51.5036,8/4/2019 20:29,43681.85358
,46.3416,8/4/2019 20:29,43681.85359
,58.1525,8/4/2019 20:29,43681.8536
,45.3419,8/4/2019 20:29,43681.85361
,40.1267,8/4/2019 20:29,43681.85362
,46.5919,8/4/2019 20:29,43681.85363
,37.0314,8/4/2019 20:29,43681.85365
,51.6151,8/4/2019 20:29,43681.85366
,34.1656,8/4/2019 20:29,43681.85367
,40.0307,8/4/2019 20:29,43681.85368
,60.1942,8/4/2019 20:29,43681.85369
,49.5555,8/4/2019 20:29,43681.8537
,53.4024,8/4/2019 20:29,43681.85372
,47.749,8/4/2019 20:29,43681.85373
,52.9715,8/4/2019 20:29,43681.85374
,54.31,8/4/2019 20:29,43681.85375
,59.2448,8/4/2019 20:29,43681.85376
,41.7351,8/4/2019 20:29,43681.85377
,43.8428,8/4/2019 20:29,43681.85378
,49.8735,8/4/2019 20:29,43681.8538
,42.8349,8/4/2019 20:29,43681.85381
,68.5452,8/4/2019 20:29,43681.85382
,55.7669,8/4/2019 20:29,43681.85383
,47.9188,8/4/2019 20:29,43681.85384
,41.9875,8/4/2019 20:29,43681.85385
,45.6868,8/4/2019 20:29,43681.85387
,44.3762,8/4/2019 20:29,43681.85388
,59.25,8/4/2019 20:29,43681.85389
,49.8319,8/4/2019 20:29,43681.8539
,61.4081,8/4/2019 20:29,43681.85391
,45.617,8/4/2019 20:29,43681.85392
,31.0689,8/4/2019 20:29,43681.85394
,44.7149,8/4/2019 20:29,43681.85395
,49.5175,8/4/2019 20:29,43681.85396
,38.8971,8/4/2019 20:29,43681.85397
,48.9289,8/4/2019 20:29,43681.85398
,55.3937,8/4/2019 20:29,43681.85399
,47.9453,8/4/2019 20:29,43681.854
,30.695,8/4/2019 20:29,43681.85402
,35.4092,8/4/2019 20:29,43681.85403
,37.8022,8/4/2019 20:29,43681.85404
,41.4411,8/4/2019 20:29,43681.85405
,56.7557,8/4/2019 20:29,43681.85406
,44.9653,8/4/2019 20:29,43681.85407
,46.7358,8/4/2019 20:29,43681.85409
,41.0872,8/4/2019 20:29,43681.8541
,35.6123,8/4/2019 20:29,43681.85411
,29.7033,8/4/2019 20:29,43681.85412
,35.6631,8/4/2019 20:29,43681.85413
,51.9459,8/4/2019 20:29,43681.85414
,54.9815,8/4/2019 20:29,43681.85416
