BlobID,Compound Name,Category,Label,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library ID,Library Match Factor,Library Reverse Match Factor,Library Name,Library Probability,Library RI,Library Formula
822,1-Decene,Unknown,,,FALSE,0,20.50002657,2.169999848,5369,68622,22306,857,879,mainlib,6.809999943,989,C10H20
802,"Disulfide, bis(1,1,3,3-tetramethylbutyl)",Unknown,,,FALSE,0,32.25002574,0.809999943,5737,69805,23748,697,769,mainlib,27.12000084,,C16H34S2
931,8-Nonene-1-nitrile,Unknown,,m_not_marine,TRUE,0,27.91669271,1.519999894,4701,69857,19481,867,882,mainlib,87.58000183,,C9H15N
1266,"2-Propanone, 1,3-diphenyl-",Unknown,,,FALSE,0,47.08335804,1.249999913,2852,69951,61582,807,872,mainlib,59.97000122,,C15H14O
1196,"Propanedinitrile, (1-methylethylidene)-",Unknown,,,FALSE,0,23.00002639,3.369999764,3016,69990,166,736,758,mainlib,23.28000069,,C6H6N2
1453,Pentanamide,Unknown,,,FALSE,0,33.83335897,1.629999886,2216,71822,29836,752,843,mainlib,55.18000031,918,C5H11NO
944,1-Butoxy-2-propanol acetate,Unknown,,,FALSE,0,25.33335956,0.909999936,4699,72120,7775,790,852,mainlib,64.87000275,,C9H18O3
1130,"2,2-Dimethylindene, 2,3-dihydro-",Unknown,,,FALSE,0,41.16669179,1.169999918,3377,72722,115944,725,840,mainlib,28.65999985,,C11H14
1138,α-Methylstyrene,Unknown,,,FALSE,0,20.08335993,2.089999854,3275,73351,98329,807,843,mainlib,17.90999985,976,C9H10
775,Falcarinol,Unknown,,,FALSE,0,43.66669161,0.679999952,5566,73419,20979,669,689,mainlib,16.5,2040,C17H24O
1023,"1,2-Benzisothiazole",Unknown,,,FALSE,0,30.0000259,1.229999914,4070,76091,120243,747,912,mainlib,36.25999832,1221,C7H5NS
1355,"Pentane, 2-bromo-4-methyl-",Unknown,,,FALSE,0,19.66669329,1.169999918,2466,76209,6278,639,730,mainlib,13.09000015,938,C6H13Br
474,"Tridecane, 4-methyl-",Unknown,,,FALSE,0,34.50002559,0.529999963,16904,76934,7865,840,889,mainlib,15.01000023,1359,C14H30
923,"3-(Benzylthio)acrylic acid, methyl ester",Unknown,,,FALSE,0,45.66669147,0.819999943,5105,77093,63626,660,673,mainlib,28.79999924,,C11H12O2S
1048,"Naphthalene, 2,3,6-trimethyl-",Unknown,,,FALSE,0,40.75002515,0.889999938,3899,77124,159116,802,836,mainlib,30.03000069,1541,C13H14
1195,"Propanedinitrile, (1-methylethylidene)-",Unknown,,,FALSE,0,22.91669306,3.389999763,2967,77511,166,726,746,mainlib,29.93000031,,C6H6N2
943,1-Decene,Unknown,,,FALSE,0,20.50002657,2.909999796,4578,77973,22306,868,885,mainlib,6.650000095,989,C10H20
955,"Phenanthrene, 9,10-dihydro-1-methyl-",Unknown,,,FALSE,0,46.16669144,0.85999994,4452,79052,166882,677,726,mainlib,17.48999977,1795,C15H14
1128,Benzeneacetaldehyde,Unknown,,,FALSE,0,22.75002641,1.249999913,3456,82201,60626,747,832,mainlib,16.5,1045,C8H8O
1125,"2(1H)-Naphthalenone, 3,4,4a,5,6,7,8,8aα-octahydro-5α-hydroxy-4aα,7,7-trimethyl-, acetate",Unknown,,,FALSE,0,45.41669149,1.4299999,3315,82909,13183,669,695,mainlib,13.77999973,,C15H24O3
805,n-Decanoic acid,Unknown,,,FALSE,0,34.50002559,0.839999941,5757,85017,30954,701,797,mainlib,38.09000015,1373,C10H20O2
1033,1-Decene,Unknown,,,FALSE,0,20.50002657,1.829999872,4033,85433,22306,863,899,mainlib,8.569999695,989,C10H20
893,"2-Undecenal, E-",Unknown,,,FALSE,0,34.75002557,1.209999915,5074,86092,3524,834,858,mainlib,30.13999939,1365,C11H20O
965,Isoshyobunone,Unknown,,,FALSE,0,38.25002532,1.14999992,4469,86379,3907,737,758,mainlib,20.25,1520,C15H24O
1488,"Propanedinitrile, propylidene-",Unknown,,,FALSE,0,26.25002616,3.869999729,1979,86635,193,703,759,mainlib,26.48999977,,C6H6N2
698,Dibenzofuran,Natural Marine,,maybe_marine_contam,TRUE,0,39.91669187,0.979999931,6748,86882,157036,843,873,mainlib,45.20999908,1514,C12H8O
1104,Octanoic acid,Unknown,,,FALSE,0,26.16669284,0.959999933,3447,87273,30962,717,755,mainlib,21.72999954,1180,C8H16O2
800,"5-Hexenenitrile, 2-methyl-",Unknown,,,FALSE,0,24.50002629,1.599999888,5451,87439,19001,684,749,mainlib,7.690000057,848,C7H11N
510,Limonene,Natural Marine,Limonene,,TRUE,0,22.16669312,0.539999962,13863,87900,-1,-1,-1,-,-1,,-
1153,"Propanedinitrile, propylidene-",Unknown,,,FALSE,0,22.75002641,3.489999756,3212,88314,193,725,771,mainlib,31.56999969,,C6H6N2
984,"1H-Indazole, 3-methyl-",Unknown,,,FALSE,0,29.0833593,1.239999913,4439,88796,116615,723,808,mainlib,17.53000069,,C8H8N2
978,"Azetidine, 3-methyl-3-phenyl-",Unknown,,,FALSE,0,20.08335993,1.889999868,4432,88911,98334,869,900,mainlib,27.42000008,,C10H13N
951,"2-(3,3-Dimethyl-but-1-ynyl)-2,6,6-trimethyl-cyclohexane-1,4-dione",Unknown,,,FALSE,0,26.83335946,0.789999945,4814,88942,84101,645,676,mainlib,14.02999973,,C15H22O2
949,1-Octen-3-one,Unknown,,,FALSE,0,19.91669327,1.079999924,4586,91153,20325,749,897,mainlib,61.66999817,979,C8H14O
676,Heptanal,Unknown,,,FALSE,0,16.58336017,1.089999924,7278,91369,37042,838,861,mainlib,63.99000168,901,C7H14O
879,"1,4:3,6-Dianhydro-α-d-glucopyranose",Unknown,,m_not_marine,TRUE,0,29.41669261,1.359999905,5238,92008,33948,832,877,mainlib,75.91999817,1207,C6H8O4
527,"Nonane, 1-chloro-",Unknown,,,FALSE,0,27.5833594,0.679999952,12986,92644,10202,854,868,mainlib,28.62999916,1159,C9H19Cl
776,1-Chloroundecane,Unknown,,,FALSE,0,23.50002636,0.519999964,5778,94283,2528,762,817,mainlib,12.90999985,1357,C11H23Cl
576,trans-1-Phenyl-1-pentene,Unknown,,,FALSE,0,29.91669257,0.71999995,9524,97590,97340,625,893,mainlib,40.43000031,1205,C11H14
1222,N(N'-Methyl-N'-nitroso(aminomethyl))benzamide,Unknown,,,FALSE,0,27.66669273,1.13999992,3084,98437,78691,760,814,mainlib,6.989999771,,C9H11N3O2
1055,Nonanoic acid,Unknown,,,FALSE,0,30.66669252,0.879999938,3981,98585,30970,791,810,mainlib,64.12000275,1273,C9H18O2
550,"Naphthalene, 1-methyl-",Unknown,,,FALSE,0,33.16669235,0.889999938,11048,99256,130169,862,869,mainlib,27.76000023,1307,C11H10
1060,"Pentanoic acid, 2,2,4-trimethyl-3-hydroxy-, isobutyl ester",Unknown,,,FALSE,0,34.33335893,1.179999917,3884,100059,6046,675,734,mainlib,19.82999992,,C12H24O3
589,"Octane, 1-iodo-",Unknown,,,FALSE,0,30.33335921,0.669999953,9197,100365,24238,757,850,mainlib,28.04999924,1238,C8H17I
1165,3-Hexenedinitrile,Unknown,,,FALSE,0,39.58335856,1.089999924,3170,100579,31980,566,781,mainlib,7.710000038,,C6H6N2
1043,"Silanediamine, 1,1-dimethyl-N,N'-diphenyl-",Unknown,,,FALSE,0,19.91669327,1.009999929,3834,102987,65957,793,838,mainlib,42.40000153,,C14H18N2Si
661,"1H-Inden-1-one, 2,3-dihydro-",Unknown,,,FALSE,0,31.91669243,1.409999901,7246,104175,77573,683,784,mainlib,16.69000053,1289,C9H8O
1212,7-Pentadecanone,Unknown,,,FALSE,0,44.16669158,0.919999936,3127,104519,6118,771,831,mainlib,47.54000092,,C15H30O
